benchmark,run,result
quadratic,baseline,785
quadratic,licm,785
primes-between,baseline,574100
primes-between,licm,534888
birthday,baseline,484
birthday,licm,484
orders,baseline,5352
orders,licm,5352
sum-check,baseline,5018
sum-check,licm,5018
palindrome,baseline,298
palindrome,licm,298
totient,baseline,253
totient,licm,incorrect
relative-primes,baseline,1923
relative-primes,licm,1923
hanoi,baseline,99
hanoi,licm,99
is-decreasing,baseline,127
is-decreasing,licm,127
check-primes,baseline,8468
check-primes,licm,8468
sum-sq-diff,baseline,3038
sum-sq-diff,licm,3038
fitsinside,baseline,10
fitsinside,licm,10
fact,baseline,229
fact,licm,229
loopfact,baseline,116
loopfact,licm,116
recfact,baseline,104
recfact,licm,104
factors,baseline,72
factors,licm,timeout
perfect,baseline,232
perfect,licm,232
bitshift,baseline,167
bitshift,licm,167
digital-root,baseline,247
digital-root,licm,247
up-arrow,baseline,252
up-arrow,licm,252
sum-divisors,baseline,159
sum-divisors,licm,incorrect
ackermann,baseline,1464231
ackermann,licm,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,licm,incorrect
euclid,baseline,563
euclid,licm,544
binary-fmt,baseline,100
binary-fmt,licm,100
lcm,baseline,2326
lcm,licm,2326
gcd,baseline,46
gcd,licm,incorrect
catalan,baseline,659378
catalan,licm,659378
armstrong,baseline,133
armstrong,licm,133
pascals-row,baseline,146
pascals-row,licm,146
collatz,baseline,169
collatz,licm,incorrect
sum-bits,baseline,73
sum-bits,licm,73
rectangles-area-difference,baseline,14
rectangles-area-difference,licm,14
mod_inv,baseline,558
mod_inv,licm,519
reverse,baseline,46
reverse,licm,timeout
fizz-buzz,baseline,3652
fizz-buzz,licm,3652
bitwise-ops,baseline,1690
bitwise-ops,licm,1690
cholesky,baseline,3761
cholesky,licm,incorrect
mat-inv,baseline,1044
mat-inv,licm,incorrect
dead-branch,baseline,1196
dead-branch,licm,1098
function_call,baseline,timeout
function_call,licm,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,licm,142
conjugate-gradient,baseline,1999
conjugate-gradient,licm,incorrect
leibniz,baseline,timeout
leibniz,licm,timeout
n_root,baseline,733
n_root,licm,733
newton,baseline,217
newton,licm,217
euler,baseline,1908
euler,licm,1908
riemann,baseline,298
riemann,licm,291
mandelbrot,baseline,2720947
mandelbrot,licm,incorrect
norm,baseline,505
norm,licm,505
cordic,baseline,517
cordic,licm,517
pow,baseline,36
pow,licm,36
sqrt,baseline,322
sqrt,licm,306
quickselect,baseline,279
quickselect,licm,279
sieve,baseline,3482
sieve,licm,3482
bubblesort,baseline,253
bubblesort,licm,253
primitive-root,baseline,11029
primitive-root,licm,timeout
adler32,baseline,6851
adler32,licm,6851
adj2csr,baseline,56629
adj2csr,licm,56629
csrmv,baseline,121202
csrmv,licm,incorrect
dot-product,baseline,88
dot-product,licm,88
major-elm,baseline,47
major-elm,licm,incorrect
max-subarray,baseline,193
max-subarray,licm,193
mat-mul,baseline,1990407
mat-mul,licm,1990407
fib,baseline,121
fib,licm,121
vsmul,baseline,86036
vsmul,licm,86036
quicksort-hoare,baseline,27333
quicksort-hoare,licm,incorrect
quicksort,baseline,264
quicksort,licm,264
two-sum,baseline,98
two-sum,licm,98
eight-queens,baseline,1006454
eight-queens,licm,1006454
binary-search,baseline,78
binary-search,licm,78